sportId,fullName,sortOrder,hasPublicContests,isEnabled,regionFullSportName,regionAbbreviatedSportName
1,Football,1,TRUE,TRUE,Football,NFL
4,Basketball,2,TRUE,TRUE,Basketball,NBA
2,Baseball,3,FALSE,TRUE,Baseball,MLB
13,Golf,4,TRUE,TRUE,Golf,GOLF
3,Hockey,5,TRUE,TRUE,Hockey,NHL
5,College Football,6,TRUE,TRUE,College Football,CFB
10,Nascar,7,FALSE,TRUE,Nascar,NAS
9,Mixed Martial Arts,8,TRUE,TRUE,Mixed Martial Arts,MMA
12,Soccer,9,TRUE,TRUE,Soccer,SOC
16,Tennis,10,FALSE,TRUE,Tennis,TEN
6,College Basketball,11,TRUE,TRUE,College Basketball,CBB
27,Formula One,12,FALSE,TRUE,Formula One,F1
11,League of Legends,13,FALSE,TRUE,League of Legends,LOL
28,United States Football League,14,FALSE,TRUE,United States Football League,USFL
19,Counter Strike: Global Offensive,15,TRUE,TRUE,Counter Strike: Global Offensive,CS:GO
14,Canadian Football,16,FALSE,TRUE,Canadian Football,CFL
22,Call Of Duty,17,TRUE,TRUE,Call Of Duty,COD
15,EuroLeague Basketball,18,TRUE,TRUE,EuroLeague Basketball,EL
26,Valorant,19,FALSE,TRUE,Valorant,VAL
18,XFL,20,FALSE,FALSE,XFL,XFL
25,Defense of the Ancient 2,21,FALSE,FALSE,Defense of the Ancient 2,DOTA2
20,Rocket League,22,FALSE,FALSE,Rocket League,RL
23,Australian Football League,23,FALSE,FALSE,Australian Football League,AUSFL
24,iRacing,24,FALSE,FALSE,iRacing,IRACE
21,Miscellaneous,25,FALSE,FALSE,Miscellaneous,
